date,customer_id,transactional_value
2017-11-01,c42b7255f64d47ec8e31fabc120f2918528b3e6806559c452bce3c9a760c7a3e,907
2017-11-01,52dcd60e7224b985b79040233fcaf17cabe71c22e38d098e751473523c38ece5,2649
2017-11-01,508c4db81aa472ad6b2b60ef4518e124e4f8eb6ddef31c0610ef8e167718d872,5304
2017-11-01,b5932bdf1339afb662e81ff232b5454893b75a136ae9a4af24376a13225d88c4,5466
2017-11-01,0c37a06a71d9ee2a5835be87d1879dd9834ae9076726c36ba25d073b7e922657,2274
2017-11-01,23f47678b8b7965582c4349270f32b86d5b2bab0618215f48e08b3dc43a45638,719
2017-11-01,883dfda227b70ddec1a0361b81fd17a3032ac23200515c8d81d94b478aa78d7a,1289
2017-11-01,7dd51a1d757235f59758d1fe4598c39d6fe52ff9e89dc5b478fedd5841f8f1da,1409
2017-11-01,e2471060043dcaf471f0b45a291640cb4f6ae637e6dc212deeab811d5a57754e,7343
2017-11-01,9042f44c060d19aa8105d1ed716a4e270e18c229c1e77fe332da713425b7993b,51
2017-11-01,8732a5463751be203d4a95dc6eb6e378e495d25c28f163287d8e3352fdc313d1,1006
2017-11-01,f995dcd3b51bf88eef4986494ef6d3ea28338f1ee9468e404c941b14801724ba,1030
2017-11-01,dd9345d631820752dd3e2f5eced613b3eaeabb4d3f07b469b311f36809bb1003,3747
2017-11-01,d31dfced4358917d5ca54835d0788cab21405e4b88e216d9df56ef3b3d22c363,2566
2017-11-01,54bf8d67a87883c828e2ba09d749dee7d69d2105a636d6527e3afc120281986f,5692
2017-11-01,3d5b604fdd47801a77e176cf5f4c74adb3476518ae0b7ac04336ce7d9202da1a,560
2017-11-01,0f30e25e2c224446851d3a0b53938cf236f3b72b30b8944678bd87a684a4e97e,444
2017-11-01,ffda2e75a7356d998057b7898a47b60b98d37f84322a7993b8e327238c769cbd,1321
2017-11-01,8f9f0b8ee1ecf882cc09a47f7e978134398f09b1612a729d90776ef71d10c720,7030
2017-11-01,bc9efb8d421e7f529ff3e2a55a3fecf1ccfa30587d8e432b7ac73acf80b75e0c,1677
2017-11-01,c8336b174c4a9d007d81ae877645576f7843b88c19823a2b5fec59e5a4bf47f2,456
2017-11-01,02d12a28d343533fd9c0dc5d716091ee28f76f2b5ca47f4e08787c987f3a20f8,1465
2017-11-01,b816d7715b03d2b881c5bda4b8017ad7a725b3f6bab923eeabe7726558940c06,4715
2017-11-01,306b50c566b751384fdee510590de7454c6e2719735ccd3ae5979b41299dec54,3222
2017-11-01,fdf3076e22b6e0186e838897381d5861be4a1385293823f1f1cdd7c8462d3c39,69
2017-11-01,f378730a2b9022276c437a062e6c396b790c606d73d68a5ee3f88cf9d73e5a53,87
2017-11-01,17348e663d86ff58911495df273862eedadd1a9428374bb751f648e3ff631f85,1793
2017-11-01,957a13ab0a64c101e9b2263e19f81a36cea6f1c438c36b597268ca546636a320,3036
2017-11-01,5e1e16649c871a932947bc0e19b756571ab8f711ed623bc0ebdf82c3bf887f94,11014
2017-11-01,0a1717534d02dbab56540cc34630a3dd726e491eef144c29e192f4deeec93e31,2002
2017-11-01,aaac88036a11349be51c493c5c0d2f2d71136e5d60683139839ccdbd630deda0,88
2017-11-01,4e6e659220703dee043e2367b9cab209d84ee48ad3f0da27509d1363e242e9ee,735
2017-11-01,d7af15999cd48b679295fef28e5d2d68f348d8d5ac921a233d9ee90a02a3a048,5129
2017-11-01,d581e55551abdcd335d2f2717806d78180ef474039ab780c635d2f02acc6f6bb,3570
2017-11-01,84fa04f1baff4b47e7f7846fb4df9afed7df48cd69daf48071e2bcd957a56d5f,99
2017-11-01,a4d929d2c6da7d17d65e312791476481459be497f1a987138815acdca0d74eb2,2680
2017-11-01,3a82a59e2c145251aaefd4b332b5379dc63e9f1399aab96823ad4de141de42d6,8083
2017-11-01,37cc95cddaa660169123a6d32f7ad62f33715c7860e8e6d311c7b97441c21b28,1086
2017-11-01,1ca487b3446388324ff989ec56a03a1df3e9ebb29395ee29418ce7f01c51a250,1437
2017-11-01,18b8c60f9e74854c11b7aa680e2c32905a34dbc4bc521a6083016be0d4ebbbab,298
2017-11-01,1360d4614cad229571a89ab020bd187931fe9eabb4f632ff82c80db73922fc8c,1859
2017-11-01,2d4fc4db30ecddefe2ddc76192b110465f0486805924670b47d072aa5e677243,2243
2017-11-01,5dc0ee0e466f32cb27f94970844f8346310f0776075e59fdba053844fd3bbeb6,5156
2017-11-01,d11e346bc55e90432785f1a5921998a866a535291a424ff7fc78d56a0e5a4695,1834
2017-11-01,0e3c77c3e98d63ae16267347b1f9aa9a2c6516aa05b569d549db9c4110b52e46,15408
2017-11-01,ed27e4811f0769a44af6f2695b16ef504fdcde19e6601b0b9e0ea4348f881a20,2981
2017-11-01,5c1bfe1d16d2b7a53345ea1249ea9df1617c3e471e59a77f671c90da0f6c9d6e,4581
2017-11-01,f64b30b9c881ec271861a7154f607d1f6f9ad6e23c2abd89063dd9dfbad5a9bc,1475
2017-11-01,04daae6efc849c50803be8a81876082b16d2de11a295a7e66091c3d89a6dd7aa,3127
2017-11-01,1dad5471ff419be43a498e3dac1c6d15d8fd597401900250530a0e65b6bd2d92,19
2017-11-01,6e649b0465276f01c7e5046aca1cf906eb2565a91f7c91bbd74a10561ab05e50,604
2017-11-01,5d0e27a69bb1a7120efe53c7335f7127733e66c6d486471ace06fb9672194268,82
2017-11-01,09a327fbc5217b58ca6b9dc3a0ff3122fab3cab41fb1742c221a032e1133eea1,1648
2017-11-01,56d3b364cb601f6c823473d4ed282f913bcd50ef5c5f3b1ec0eac8c9afe18e42,21
2017-11-01,73d5a739f68a17873893f774fcd7e3572271744e61cb3f53e160765d52963cb4,1345
2017-11-01,cc846dc905c1554aff200dfe9539763d21bb1d1a3226027e7a148191c9d51f4f,3155
2017-11-01,5c14c704de1c094d07ef4e4b44dcc8c76306b4841b84de965486691a54b0d781,1351
2017-11-01,9a093397f294c987e935e6591074fe686ac3961ab3fb818ee0d1ca7fdd9088bb,1603
2017-11-01,c65d35a6aefbd6dce3bf1bbdb72f80177c8234c947cacda927fdfc3264dd11de,1317
2017-11-01,ea134f89cf20c1cff2b947a8b52e1c8fce17807549602464d5aa478d2cd9c57c,1722
2017-11-01,b249e55bd4111b94cac51eb1de208af0c37e74f301f7b6b89cf618a369285250,9199
2017-11-01,61def2df024446086fad827c9fe47805ef47d8376781354fa8f63eb3d353ef75,12214
2017-11-01,4a02e193edbbeb0fdedc52d3378cbba1bcf593bc4755d08a7416159e78647223,4287
2017-11-01,b5e7c713c9c6b11af61b9b08ddb081d36d867e8bd06bc51b6e2808c014ab6b39,349
2017-11-01,7b6444f826971be4e38d562bf93293d3cc5f4e27fcbe6d6454d488cb33b0940f,35
2017-11-01,545692393431bc9c4dfbd3b864da8168d9d56894312d4d02bdfae338b2f32d81,243
